查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
2461,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",170,387000,114,242152,65,235512
2462,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",263,600500,275,522120,137,452360
2463,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",347,787200,255,490208,169,480456
2464,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",406,893100,215,400200,158,494328
2465,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",390,847500,277,535240,180,537600
2466,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",508,1166400,313,565520,115,337096
2467,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",577,1319400,301,545480,141,415872
2468,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",187,446600,90,175112,30,107096
2469,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",1,1700,59,104984,17,46144
2470,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",589,1373900,355,676752,185,544744
2471,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",447,915200,220,377256,106,323544
2472,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",3,11300,127,348712,15,52624
2473,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",305,749200,149,273216,99,302432
2474,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",371,808800,220,431352,94,282424
2475,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",537,1216200,268,496400,143,444712
2476,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",458,1031300,279,487360,139,382192
2477,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",94,196900,79,156776,21,70992
2478,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",299,656700,190,326736,40,122056
2479,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",212,434000,120,198992,39,108552
2480,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",225,463000,164,297616,34,94864
2481,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",1,1700,50,135792,20,64336
2482,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",9,21700,0,0,1,8176
2483,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",266,651200,155,272192,32,100952
2484,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",259,583100,125,224752,59,173680
2485,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",1,1700,60,152400,7,38896
2486,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",403,950200,232,420744,99,287128
2487,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",336,836200,163,328640,84,256192
2488,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,pdpop2-3",0,0,9,18000,0,0
2489,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",31,59000,12,20624,7,16160
2490,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",46,90400,34,65440,16,41984
2491,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",160,340600,138,252648,44,126872
2492,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",292,663300,193,346120,118,346648
2493,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",13,40700,40,204216,53,238336
2494,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",306,698800,181,325376,97,269200
2495,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",360,741400,201,383256,101,313232
2496,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",376,849900,244,449920,140,413992
2497,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",146,334600,89,161408,32,89600
2498,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",184,343000,99,173424,20,55544
2499,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",269,654900,114,222984,21,60440
2500,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",199,443600,141,247500,54,151500
2501,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",0,0,38,65040,5,12944
2502,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,1648,0,0
2503,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",313,786800,186,373040,79,247656
2504,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",371,789300,167,350704,79,234048
2505,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",316,714900,149,296432,64,186656
2506,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",320,716600,136,281568,73,238872
2507,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",3,11300,63,183368,19,87880
2508,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",210,511000,115,207848,35,97496
2509,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",224,547100,123,206848,37,121104
2510,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",334,801200,210,393672,92,295992
2511,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",480,1203800,315,576288,149,455776
2512,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",429,1013400,270,496104,139,433832
2513,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",291,791800,200,377720,86,261312
2514,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",0,0,0,0,21,52880
2515,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",87,260000,93,205400,38,118968
2516,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",20,45700,324,994440,12,62632
2517,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",132,341300,123,224736,46,130064
2518,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",250,630500,126,273720,56,165648
2519,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",4,6700,1,1648,1,2888
2520,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",195,504100,167,320072,72,215808
2521,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",226,575200,194,381768,85,259896
2522,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",9,21200,0,0,0,0
2523,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",203,511800,150,274976,68,204472
2524,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",361,960700,251,476056,117,351496
2525,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",227,571200,160,306104,72,226368
2526,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",165,428800,132,233792,67,207784
2527,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",232,611800,203,383320,70,228416
2528,2016-03-25 07:45:00,2016-03-25 08:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",9,27500,45,90864,10,55120
2529,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",287,643200,202,393456,115,363232
2530,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",387,921300,229,443056,161,449792
2531,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",65,191200,173,311720,0,0
2532,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",314,717900,250,452616,123,374504
2533,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",366,812100,244,466920,140,422888
2534,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",469,1081100,280,602024,210,634920
2535,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",257,584800,135,251464,81,222904
2536,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",478,935800,292,500856,168,438352
2537,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",347,611500,97,174088,93,245656
2538,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",417,882100,284,594768,166,488912
2539,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",136,305000,139,272312,69,207576
2540,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",175,383100,116,238264,72,251872
2541,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",266,623800,276,535344,139,458240
2542,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",350,779800,266,516560,170,485296
2543,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",409,892000,231,433264,167,515312
2544,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",407,913000,284,526920,184,542560
2545,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",511,1184000,310,563072,118,335432
2546,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",579,1317000,309,557152,143,415088
2547,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",199,473200,110,207528,29,104256
2548,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",1,1700,61,108264,19,51856
2549,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",581,1348200,357,683992,169,489664
2550,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",459,948000,241,411400,101,311744
2551,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",3,11300,138,378472,17,64504
2552,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",303,739400,149,269112,97,296720
2553,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",372,822900,239,454368,93,278328
2554,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",527,1199800,286,533920,147,455008
2555,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",462,1063200,283,489168,151,417680
2556,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",99,211600,81,163608,20,68112
2557,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",315,683900,196,335368,38,116312
2558,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",200,413800,120,198992,39,108576
2559,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",224,461200,173,311064,36,101648
2560,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",1,1700,49,121088,23,72904
2561,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",9,21700,0,0,1,8176
2562,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",275,678900,161,287200,42,124272
2563,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",260,591400,135,227128,63,181104
2564,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",1,1700,58,129480,6,37248
2565,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",417,955400,234,430344,96,278440
2566,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",344,862400,177,376784,87,262448
2567,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,pdpop2-3",0,0,9,18000,0,0
2568,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",28,53900,13,21000,7,16160
2569,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",41,81900,35,66624,16,41976
2570,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",161,342100,150,266320,48,136992
2571,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",312,709000,220,390640,116,338504
2572,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",13,40700,41,213616,51,240232
2573,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",314,737000,210,372344,98,271952
2574,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",357,742600,217,435192,113,347576
2575,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",382,873000,270,491912,145,425864
2576,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",160,358300,94,169696,33,93696
2577,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",187,354300,102,178720,26,72800
2578,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",265,648400,121,234488,17,48896
2579,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",198,435900,150,266500,52,146500
2580,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",0,0,38,65024,5,12984
2581,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,1648,0,0
2582,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",326,802300,195,395712,83,264552
2583,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",392,831400,180,365584,80,239400
2584,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",320,708800,162,313704,63,183800
2585,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",324,723100,148,315488,74,232264
2586,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",4,19200,71,188816,21,78840
2587,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",212,508100,120,215504,37,103152
2588,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",213,528200,135,234232,39,124392
2589,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",340,792400,218,403960,95,296848
2590,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",490,1233900,345,623296,152,458968
2591,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",434,1033900,285,533288,145,455072
2592,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",289,807600,227,409224,81,246976
2593,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",0,0,0,0,27,71296
2594,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",90,246100,94,213720,37,109824
2595,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",19,50200,356,1067904,17,81136
2596,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",139,376100,143,264512,42,120960
2597,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",249,647800,149,306472,62,181680
2598,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",4,6600,2,3296,1,2888
2599,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",214,573700,171,331840,65,195696
2600,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",238,608200,208,412720,85,259992
2601,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",6,16300,0,0,0,0
2602,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",194,484200,162,302192,68,198944
2603,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",356,957900,283,544744,123,372928
2604,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",232,610300,181,338824,73,229368
2605,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",173,442200,153,276072,64,199120
2606,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",234,627400,234,428296,75,236328
2607,2016-03-25 08:00:00,2016-03-25 08:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",6,15900,46,92864,12,60848
2608,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",299,669500,215,431432,121,380368
2609,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",395,928800,240,454512,163,454272
2610,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",66,179900,195,351040,0,0
2611,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",313,728900,275,508080,125,380152
2612,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",382,840000,250,476816,152,457448
2613,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",478,1120800,290,603624,204,616384
2614,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",259,600400,139,259272,83,227408
2615,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",476,938600,289,498784,159,414856
2616,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",355,631700,98,175832,92,242792
2617,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",422,909600,308,653872,169,502904
2618,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",138,314500,148,285352,66,199056
2619,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",171,395200,122,249280,78,275592
2620,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",282,650800,303,571960,139,458400
2621,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",347,774800,284,535504,169,482496
2622,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",419,915300,262,493592,166,512376
2623,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",413,924100,298,563904,192,566880
2624,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",506,1181500,323,584288,117,344424
2625,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",578,1296800,331,597992,138,399472
2626,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",199,473100,104,197864,29,104240
2627,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",2,3400,64,113184,21,57568
2628,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",602,1433600,378,724608,162,472120
2629,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",454,927200,262,446864,97,299096
2630,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",3,11300,144,388880,23,80784
2631,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",303,721100,147,268136,95,284472
2632,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",381,844900,245,466592,95,285264
2633,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",534,1255000,293,555816,143,443480
2634,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",464,1067100,311,548952,150,414824
2635,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",92,199500,79,174792,22,73808
2636,2016-03-25 08:15:00,2016-03-25 08:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",325,701000,203,347920,36,111744
