查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
54,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",393,1000100,276,544824,72,243488
55,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",522,1072500,240,517256,79,259112
56,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",376,940900,230,420616,65,189496
57,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",460,1106700,224,466504,77,262104
58,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",5,14700,96,325024,21,110800
59,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",289,751200,177,334408,29,82840
60,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",256,639000,173,309856,49,159680
61,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",443,1127600,313,538048,97,308728
62,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",683,1852100,547,1067384,152,476392
63,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",587,1509700,423,879264,133,427016
64,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",386,1071000,322,641568,100,326720
65,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",2,9000,0,0,33,94144
66,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",130,344100,155,329592,31,98144
67,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",25,60400,604,2351560,13,66744
68,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",213,577200,220,420168,37,110584
69,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",342,940900,278,549648,50,160096
70,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",7,17900,2,9904,1,2888
71,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",282,695000,283,563616,65,212136
72,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",361,947400,334,666256,75,223224
73,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",13,21300,0,0,0,0
74,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",269,673500,262,501968,56,165680
75,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",557,1459800,447,896408,95,296888
76,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",336,909100,284,548960,61,215648
77,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",270,687600,269,513624,58,196128
78,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",388,1114500,368,733640,51,178600
79,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",7,24100,51,139552,13,56704
80,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",394,992900,322,716344,96,319608
81,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",476,1096400,309,620120,150,439152
82,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",124,324700,230,413928,0,0
83,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",403,979600,335,660384,134,416128
84,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",526,1282100,359,702136,94,302032
85,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",590,1441400,402,836008,172,526000
86,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",282,626500,152,278112,87,236648
87,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",527,1081000,356,649976,174,457448
88,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",384,692400,127,241784,88,238640
89,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",526,1134700,394,794032,128,391672
90,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",163,388300,191,356480,72,214816
91,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",234,514100,158,319904,58,204568
92,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",369,885100,330,659024,120,392376
93,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",454,1024100,383,679560,143,416744
