序号,开始时间,结束时间,查询粒度,网元位置,总容量(MB),剩余容量(MB)
184,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,764426
185,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
186,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,840252
187,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,811330
188,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
189,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785227
190,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,核心8000H,15254336,7699522
191,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763403
192,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757579
193,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,dqpop6-2",3813658,841478
194,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,794061
195,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
196,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762675
197,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245599
198,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955299
199,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760912
200,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,791813
201,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,809438
202,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
203,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
204,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866510
205,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,783633
206,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
207,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,839282
208,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756664
209,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243393
210,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762186
211,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,dqpop6-2",3813658,838745
212,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
213,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
214,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,953268
215,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,759834
216,2016-07-27 02:45:00,2016-07-27 03:00:00,15分钟,核心8000H,15254336,7694306
217,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,764139
218,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,868102
219,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762729
220,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763672
221,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,810871
