序号,开始时间,结束时间,查询粒度,网元位置,磁盘总容量(MB),磁盘剩余容量(MB)
1083,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37471573
1084,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44563174
1085,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24648590
1086,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47190869
1087,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43776286
1088,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22912996
1089,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,39237887
1090,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45349921
1091,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45841554
1092,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51800494
1093,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",125901468,45928867
1094,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",125901468,43764179
1095,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39909460
1096,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,43960800
1097,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,45286325
1098,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23739827
1099,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",95379900,24437213
1100,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40783041
1101,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7860283
1102,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,34143909
1103,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16489984
1104,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46809988
1105,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45429739
1106,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41603574
1107,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",80119159,24407492
1108,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",123993870,43175764
1109,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",118271076,19494434
1110,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",122086272,51060901
1111,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22779366
1112,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54136901
1113,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",125901468,45313661
1114,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47213933
1115,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39249758
1116,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33600661
1117,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",95379900,24385182
1118,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",125901468,43377278
1119,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23808350
1120,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43727004
1121,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",120178674,59174064
1122,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",125901468,23342430
1123,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",123993870,44857049
1124,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",59131938,18395053
1125,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40767711
1126,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",125901468,41934200
1127,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",80119116,18516140
1128,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",116303864,37907355
1129,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,39177765
1130,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",122086272,28044757
1131,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,ZXUSS_VS8000CID=高生直播转码,5722794,4507368
1132,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",121132413,57436975
1133,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",101102694,36003259
1134,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",101102694,22982753
1135,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22975014
1136,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",91564704,13729606
1137,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",85841910,21357698
1138,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15359714
1139,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45779209
1140,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15340866
1141,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45421855
1142,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,56951350
1143,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",120178674,38300685
1144,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",114455880,23963652
1145,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",106825488,38378451
1146,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,30964372
1147,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",60085557,21189044
1148,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",61993275,12195865
1149,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51880072
1150,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",120178674,47987804
1151,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7849209
1152,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",120178674,44985861
1153,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17261812
1154,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,43879644
1155,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,11921096
1156,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37574265
1157,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",125901468,45899308
1158,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16559857
1159,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30802943
1160,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,34223311
1161,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",78211518,27632627
1162,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40470095
1163,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",18121041,2380588
1164,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70404057
1165,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43877026
1166,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16984193
1167,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10746788
1168,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44625800
1169,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",123993870,41331999
1170,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",125901468,43714851
1171,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",106825488,47657775
1172,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",61993275,20679000
1173,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",123993870,42145102
1174,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39879440
1175,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",125901468,42578719
1176,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24725792
1177,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41695688
1178,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,44076794
1179,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",123993870,50061685
1180,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23175762
1181,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45364383
1182,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,48135449
1183,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,45146871
1184,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44319064
1185,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46745069
1186,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,34278788
1187,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",18121041,2363569
1188,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40418388
1189,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",60085557,21202745
1190,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,44019856
1191,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,12053777
1192,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",80119116,18457038
1193,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39218363
1194,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",125901468,42520250
1195,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39991398
1196,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",118271076,19430779
1197,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15448645
1198,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",85841910,21429298
1199,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70397657
1200,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45707539
1201,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",61993275,12137255
1202,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43816129
1203,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,39055584
1204,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",95379900,24309148
1205,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51851351
1206,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",121132413,57325920
1207,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",101102694,35955336
1208,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,44188201
1209,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37499398
1210,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44549142
1211,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",125901468,45258816
1212,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",114455880,23915752
1213,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,45012459
1214,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40940556
1215,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24804148
1216,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33515614
1217,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15268100
1218,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",116303864,37880863
1219,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23871295
1220,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43750561
1221,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",120178674,59147713
1222,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45369201
1223,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",122086272,28066869
1224,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41739282
1225,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,56907047
1226,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",125901468,43359976
1227,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",120178674,47913735
1228,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",122086272,51158859
1229,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",101102694,22986383
1230,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",125901468,23520148
1231,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16921706
1232,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16669738
1233,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10630005
1234,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54182902
1235,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,ZXUSS_VS8000CID=高生直播转码,5722794,4507368
1236,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22719716
1237,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",123993870,44927429
1238,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",125901468,45835828
1239,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",125901468,43660841
1240,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",61993275,20673031
1241,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7796543
1242,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",123993870,41422909
1243,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",106825488,47666983
1244,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",123993870,42217268
1245,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",125901468,42107319
1246,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45296610
1247,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23117784
1248,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",59131938,18332478
1249,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",123993870,50243674
1250,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",120178674,38270123
1251,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",123993870,43150470
1252,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",106825488,38461286
1253,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",120178674,44860412
1254,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17378041
1255,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,23113555
1256,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,31111832
1257,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",78211518,27572924
1258,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",80119159,24341454
1259,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44242951
1260,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",91564704,13871923
1261,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46668130
1262,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47144034
1263,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,48076370
1264,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30744173
1265,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37363948
1266,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17490710
1267,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45637920
1268,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",120178674,47753030
1269,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,44120896
1270,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33581183
1271,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47079166
1272,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30689602
1273,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",123993870,41361843
1274,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45362679
1275,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39335529
1276,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70533769
1277,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",106825488,48103037
1278,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41674529
