日期,总开户数,总装机数,日开户数,日销户数,日活跃用户数,HMS容量,HMS峰值,HMS负荷,中心HMS峰值,中心并发比,EPG容量,EPG峰值,EPG负荷,EPG默认分组峰值,EPG默认分组并发比,HMS峰值时间,EPG峰值时间,黑IP数
2016-04-28,2038901,0,---,---,---,470255,114769,24%,2686,2%,636400,224719,35%,116,0%,22:05:00,22:35:00,10524,0
2016-04-27,2036287,0,---,---,---,470255,115881,25%,2624,2%,636400,226983,36%,112,0%,22:05:00,21:50:00,7544,0
2016-04-26,2033659,0,---,---,---,470255,119711,25%,2763,2%,636400,235141,37%,106,0%,21:50:00,21:50:00,7128,0
2016-04-25,2030900,0,---,---,---,470255,123488,26%,2809,2%,636400,235122,37%,120,0%,21:50:00,21:50:00,7908,0
2016-04-24,2028379,0,---,---,---,470255,115767,25%,2591,2%,628400,253940,40%,123,0%,22:05:00,21:50:00,8327,0
2016-04-23,2024561,0,---,---,---,470255,119811,25%,3056,3%,628400,260645,41%,147,0%,21:50:00,21:50:00,7144,0
2016-04-22,2020518,0,---,---,---,470255,103682,22%,2667,3%,628400,213765,34%,109,0%,21:35:00,21:50:00,6225,0
2016-04-21,2018236,0,---,---,---,470255,110633,24%,2584,2%,628400,221785,35%,112,0%,22:05:00,22:35:00,6818,0
2016-04-20,2015796,0,---,---,---,470255,108913,23%,2853,3%,628400,235189,37%,128,0%,21:50:00,21:50:00,6327,0
2016-04-19,2013265,0,---,---,---,470255,106587,23%,3015,3%,628400,226131,36%,113,0%,22:05:00,21:50:00,6006,0
2016-04-18,2010769,0,---,---,---,470255,110975,24%,3189,3%,628400,221706,35%,119,0%,21:50:00,22:35:00,9641,0
2016-04-17,2008404,0,---,---,---,470255,108777,23%,2951,3%,628400,239778,38%,151,0%,21:50:00,21:50:00,7714,0
2016-04-16,2005072,0,---,---,---,470255,111701,24%,3196,3%,628400,249536,40%,133,0%,22:05:00,22:35:00,6929,0
2016-04-15,2001665,0,---,---,---,470255,107938,23%,3190,3%,628400,234126,37%,124,0%,22:05:00,22:35:00,5638,0
2016-04-14,1999850,0,---,---,---,470255,109644,23%,2990,3%,628400,213407,34%,103,0%,21:50:00,21:50:00,5217,0
2016-04-13,1998031,0,---,---,---,470255,108492,23%,2769,3%,628400,211596,34%,107,0%,21:50:00,21:50:00,4999,0
2016-04-12,1996116,0,---,---,---,470255,116545,25%,2838,2%,628400,219408,35%,118,0%,21:50:00,21:50:00,5543,0
2016-04-11,1994132,0,---,---,---,470255,109979,23%,3053,3%,628400,221640,35%,119,0%,21:50:00,21:50:00,6459,0
2016-04-10,1992350,0,---,---,---,470255,107537,23%,2587,2%,628400,240449,38%,139,0%,22:05:00,21:50:00,8513,0
2016-04-09,1989506,0,---,---,---,470255,112793,24%,3087,3%,628400,241492,38%,132,0%,22:20:00,22:35:00,6974,0
2016-04-08,1986795,0,---,---,---,470255,109664,23%,3196,3%,628400,227735,36%,133,0%,22:20:00,22:35:00,6202,0
2016-04-07,1985362,0,---,---,---,470255,108986,23%,3366,3%,628400,212127,34%,103,0%,21:50:00,21:50:00,6439,0
2016-04-06,1983765,0,---,---,---,470255,108183,23%,2796,3%,628400,226688,36%,120,0%,21:20:00,21:20:00,5877,0
2016-04-05,1982094,0,---,---,---,470255,104459,22%,2603,2%,628400,219438,35%,99,0%,21:50:00,21:50:00,8599,0
2016-04-04,1980433,0,---,---,---,469505,109112,23%,2863,3%,628400,225374,36%,89,0%,21:50:00,21:50:00,5941,0
2016-04-03,1978249,0,---,---,---,470255,105396,22%,2815,3%,628400,232649,37%,124,0%,22:20:00,21:50:00,6332,0
2016-04-02,1975755,0,---,---,---,470255,107416,23%,2950,3%,628400,233090,37%,124,0%,21:50:00,21:50:00,6316,0
2016-04-01,1972303,0,---,---,---,470255,103462,22%,2811,3%,628400,221315,35%,123,0%,21:50:00,22:35:00,5462,0
2016-03-31,1969632,0,---,---,---,470255,104846,22%,1803,2%,628400,209762,33%,69,0%,21:50:00,21:50:00,4816,0
2016-03-30,1967430,0,---,---,---,469755,103094,22%,3095,3%,628400,213503,34%,83,0%,21:50:00,21:50:00,13008,0
2016-03-29,1965100,0,---,---,---,470255,95969,20%,2832,3%,628400,225607,36%,115,0%,21:50:00,21:50:00,4515,0
2016-03-28,1962638,0,---,---,---,470255,107587,23%,3228,3%,628400,217212,35%,89,0%,21:50:00,21:50:00,4659,0
2016-03-27,1960285,0,---,---,---,470255,106787,23%,2626,2%,628400,228795,36%,107,0%,21:50:00,21:50:00,5479,0
2016-03-26,1956993,0,---,---,---,470255,105098,22%,2851,3%,628400,221408,35%,112,0%,21:50:00,22:35:00,5508,0
2016-03-25,1953572,0,---,---,---,470255,101331,22%,2800,3%,628400,216424,34%,106,0%,21:50:00,22:35:00,4822,0
2016-03-24,1951612,0,---,---,---,470255,100009,21%,2685,3%,628400,213783,34%,108,0%,22:05:00,21:50:00,4798,0
2016-03-23,1949511,0,---,---,---,470255,103997,22%,2867,3%,628400,211075,34%,90,0%,21:50:00,21:50:00,4849,0
2016-03-22,1947326,0,---,---,---,470255,107391,23%,3086,3%,628400,214927,34%,122,0%,21:50:00,21:50:00,5160,0
2016-03-21,1945099,0,---,---,---,469755,104591,22%,2998,3%,628400,213958,34%,88,0%,21:50:00,21:50:00,5266,0
2016-03-20,1942942,0,---,---,---,469755,102496,22%,2910,3%,628400,226337,36%,109,0%,21:50:00,21:50:00,4419,0
2016-03-19,1939851,0,---,---,---,469755,106698,23%,3087,3%,628400,227912,36%,110,0%,22:20:00,22:35:00,4609,0
2016-03-18,1936639,0,---,---,---,469755,98786,21%,3031,3%,628400,219067,35%,108,0%,22:05:00,22:35:00,4512,0
2016-03-17,1934852,0,---,---,---,469755,100310,21%,2876,3%,628400,209153,33%,96,0%,21:50:00,21:50:00,6645,0
2016-03-16,1932851,0,---,---,---,469755,97840,21%,2593,3%,628400,212694,34%,111,0%,22:05:00,21:50:00,4410,0
2016-03-15,1930785,0,---,---,---,471255,97735,21%,2738,3%,628400,220294,35%,103,0%,22:05:00,21:50:00,4508,0
2016-03-14,1928832,0,---,---,---,471830,103872,22%,2854,3%,628400,214184,34%,112,0%,21:50:00,21:50:00,4368,0
2016-03-13,1926890,0,---,---,---,468255,105181,22%,2999,3%,628400,234781,37%,111,0%,21:20:00,21:50:00,5227,0
2016-03-12,1924091,0,---,---,---,468830,108015,23%,3083,3%,628400,229384,37%,102,0%,21:50:00,22:35:00,5367,0
2016-03-11,1920909,0,---,---,---,468830,97386,21%,2979,3%,628400,227910,36%,106,0%,22:05:00,22:35:00,4894,0
2016-03-10,1919210,0,---,---,---,471255,99827,21%,2781,3%,628400,211749,34%,97,0%,21:50:00,21:50:00,4303,0
2016-03-09,1917454,0,---,---,---,471830,103832,22%,2798,3%,628400,221837,35%,98,0%,21:50:00,21:50:00,5902,0
2016-03-08,1915605,0,---,---,---,471255,104831,22%,2852,3%,628400,226661,36%,109,0%,21:50:00,21:50:00,4469,0
2016-03-07,1913698,0,---,---,---,471255,107060,23%,2781,3%,628400,220965,35%,114,0%,21:50:00,21:50:00,4318,0
2016-03-06,1911764,0,---,---,---,471830,104004,22%,2897,3%,628400,237806,38%,97,0%,21:50:00,21:50:00,5114,0
2016-03-05,1908434,0,---,---,---,471255,107922,23%,2927,3%,628400,238347,38%,105,0%,22:20:00,22:35:00,5120,0
2016-03-04,1904511,0,---,---,---,471255,103309,22%,2827,3%,628400,228465,36%,105,0%,22:20:00,22:35:00,4344,0
2016-03-03,1902384,0,---,---,---,471255,103754,22%,2656,3%,628400,212593,34%,97,0%,21:50:00,21:50:00,4195,0
2016-03-02,1899872,0,---,---,---,471830,101600,22%,2618,3%,628400,220698,35%,97,0%,21:50:00,21:50:00,4197,0
2016-03-01,1897076,0,---,---,---,471830,110189,23%,2969,3%,628400,241808,38%,92,0%,21:50:00,21:50:00,4444,0
2016-02-29,1894518,0,---,---,---,471030,117297,25%,1895,2%,628400,240785,38%,73,0%,21:50:00,21:50:00,4726,0
2016-02-28,1892162,0,---,---,---,471830,114395,24%,3371,3%,628400,261652,42%,108,0%,21:35:00,21:50:00,5007,0
2016-02-27,1888212,0,---,---,---,471830,119346,25%,3438,3%,628400,250229,40%,108,0%,22:20:00,22:35:00,4989,0
2016-02-26,1884328,0,---,---,---,471255,113559,24%,3453,3%,628400,243299,39%,93,0%,22:05:00,22:35:00,4281,0
2016-02-25,1882178,0,---,---,---,478755,117511,25%,4052,3%,628400,235032,37%,82,0%,21:50:00,21:50:00,4163,0
2016-02-24,1880054,0,---,---,---,478755,110319,23%,4038,4%,628400,240209,38%,100,0%,21:50:00,21:50:00,4517,0
2016-02-23,1877822,0,---,---,---,479330,113925,24%,4113,4%,628400,243985,39%,92,0%,21:50:00,21:50:00,4651,0
2016-02-22,1875451,0,---,---,---,478755,110843,23%,3587,3%,628400,259684,41%,77,0%,22:20:00,21:50:00,4938,0
2016-02-21,1873466,0,---,---,---,478755,111833,23%,4021,4%,628400,253735,40%,93,0%,21:50:00,21:50:00,5046,0
2016-02-20,1870082,0,---,---,---,479330,118938,25%,4441,4%,628400,246360,39%,90,0%,21:50:00,22:35:00,4984,0
2016-02-19,1866569,0,---,---,---,479330,110971,23%,4444,4%,628400,244315,39%,80,0%,21:50:00,22:35:00,4487,0
2016-02-18,1864421,0,---,---,---,478755,110236,23%,4197,4%,628400,229934,37%,79,0%,21:50:00,21:50:00,4028,0
2016-02-17,1862305,0,---,---,---,477755,107912,23%,4114,4%,628400,234590,37%,64,0%,21:50:00,21:50:00,4006,0
2016-02-16,1860268,0,---,---,---,369580,113400,31%,4625,4%,628400,237116,38%,63,0%,21:50:00,21:50:00,3978,0
2016-02-15,1858411,0,---,---,---,370330,116291,31%,4810,4%,628400,240417,38%,74,0%,21:50:00,21:50:00,4620,0
2016-02-14,1856699,0,---,---,---,369755,110816,30%,4412,4%,628400,241419,38%,75,0%,21:50:00,21:50:00,4084,0
2016-02-13,1855241,0,---,---,---,369755,107703,29%,4503,4%,628400,231193,37%,78,0%,21:35:00,22:35:00,3546,0
2016-02-12,1853955,0,---,---,---,370330,95497,26%,3920,4%,628400,207021,33%,69,0%,22:05:00,22:35:00,3224,0
2016-02-11,1852850,0,---,---,---,370330,92690,25%,3735,4%,628400,195919,31%,51,0%,21:50:00,22:35:00,3174,0
2016-02-10,1852009,0,---,---,---,369755,87787,24%,3575,4%,628400,188896,30%,54,0%,21:50:00,22:35:00,2992,0
2016-02-09,1851392,0,---,---,---,369755,88015,24%,3351,4%,628400,192102,31%,55,0%,22:20:00,22:35:00,3269,0
2016-02-08,1850888,0,---,---,---,369755,84311,23%,3296,4%,628400,199660,32%,64,0%,22:20:00,21:50:00,3225,0
2016-02-07,1850472,0,---,---,---,369755,70772,19%,2484,4%,628400,212838,34%,81,0%,14:35:00,21:50:00,3424,0
2016-02-06,1849244,0,---,---,---,370330,95217,26%,4003,4%,628400,185955,30%,0,0%,22:20:00,20:35:00,3788,0
2016-02-05,1846853,0,---,---,---,369755,95979,26%,4659,5%,628400,213446,34%,72,0%,21:50:00,22:35:00,4213,0
2016-02-04,1844417,0,---,---,---,369755,102204,28%,4320,4%,628400,215609,34%,73,0%,21:50:00,22:05:00,4113,0
2016-02-03,1841497,0,---,---,---,369005,104072,28%,4022,4%,628400,218882,35%,62,0%,21:50:00,21:50:00,13681,0
2016-02-02,1837836,0,---,---,---,369580,106038,29%,3917,4%,628400,222261,35%,79,0%,22:05:00,22:05:00,4631,0
2016-02-01,1834868,0,---,---,---,369580,110295,30%,4229,4%,628400,227115,36%,67,0%,21:50:00,21:50:00,1324,0
2016-01-31,1832788,0,---,---,---,369005,110843,30%,2517,2%,628400,248913,40%,65,0%,21:50:00,21:50:00,6026,0
2016-01-30,1829164,0,---,---,---,369755,108471,29%,4112,4%,628400,236584,38%,62,0%,21:50:00,22:35:00,7091,0
2016-01-29,1823926,0,---,---,---,369005,107176,29%,4215,4%,628400,239261,38%,71,0%,22:20:00,22:35:00,8590,0
2016-01-28,1819934,0,---,---,---,366555,108416,30%,4402,4%,612400,232080,38%,100,0%,21:50:00,21:50:00,4282,0
2016-01-27,1815938,0,---,---,---,370330,107199,29%,4261,4%,572400,236093,41%,81,0%,21:50:00,21:50:00,4266,0
2016-01-26,1810277,0,---,---,---,369580,109232,30%,4448,4%,572400,233623,41%,81,0%,21:50:00,21:50:00,4547,0
2016-01-25,1796353,0,---,---,---,369005,128077,35%,5420,4%,532400,277002,52%,140,0%,21:50:00,21:50:00,5011,0
2016-01-24,1785353,0,---,---,---,369005,120857,33%,5223,4%,532400,274681,52%,125,0%,21:20:00,21:20:00,5525,0
2016-01-23,1783540,0,---,---,---,369580,120962,33%,5233,4%,532400,272245,51%,118,0%,21:50:00,21:50:00,5969,0
2016-01-22,1780900,0,---,---,---,369580,116153,31%,4593,4%,532400,259930,49%,115,0%,21:50:00,22:35:00,5980,0
2016-01-21,1780076,0,---,---,---,369580,118488,32%,4719,4%,532400,256398,48%,112,0%,21:50:00,21:50:00,5217,0
2016-01-20,1779347,0,---,---,---,369580,118038,32%,4722,4%,532400,254638,48%,114,0%,21:50:00,21:50:00,6275,0
2016-01-19,1778451,0,---,---,---,369580,119814,32%,4532,4%,532400,255447,48%,118,0%,21:50:00,21:50:00,9068,0
2016-01-18,1777436,0,---,---,---,369755,122725,33%,4675,4%,532400,261050,49%,104,0%,21:50:00,21:50:00,4174,0
2016-01-17,1776749,0,---,---,---,368955,123685,34%,4703,4%,532400,268835,50%,120,0%,21:50:00,21:50:00,5046,0
2016-01-16,1775302,0,---,---,---,368955,119129,32%,4531,4%,532400,259866,49%,114,0%,21:50:00,22:35:00,4796,0
2016-01-15,1773297,0,---,---,---,369530,112599,30%,4458,4%,532400,258132,48%,116,0%,21:50:00,22:35:00,4169,0
2016-01-14,1771780,0,---,---,---,369530,117789,32%,4395,4%,532400,251746,47%,110,0%,21:50:00,21:50:00,4225,0
2016-01-13,1769924,0,---,---,---,369530,114318,31%,4542,4%,532400,249727,47%,117,0%,21:50:00,21:50:00,4448,0
2016-01-12,1767807,0,---,---,---,368955,115083,31%,4207,4%,532400,247967,47%,120,0%,21:50:00,21:50:00,4562,0
2016-01-11,1765892,0,---,---,---,369530,116951,32%,4435,4%,532400,255123,48%,133,0%,21:50:00,21:50:00,3920,0
2016-01-10,1764724,0,---,---,---,369530,117522,32%,4347,4%,532400,269574,51%,141,0%,21:35:00,21:50:00,4766,0
2016-01-09,1762143,0,---,---,---,370330,127564,34%,4472,4%,532400,276293,52%,262,0%,21:50:00,21:50:00,5135,0
2016-01-08,1758316,0,---,---,---,369755,128219,35%,4311,3%,532400,272288,51%,215,0%,22:20:00,22:35:00,4744,0
2016-01-07,1755954,0,---,---,---,370330,123453,33%,3855,3%,532400,261202,49%,161,0%,22:05:00,21:50:00,18905,0
2016-01-06,1753223,0,---,---,---,369755,124496,34%,3988,3%,532400,260243,49%,138,0%,22:05:00,21:50:00,4869,0
2016-01-05,1750139,0,---,---,---,369755,126366,34%,4313,3%,532400,263588,50%,146,0%,22:05:00,21:50:00,4802,0
2016-01-04,1747129,0,---,---,---,369755,131412,36%,4474,3%,532400,270596,51%,151,0%,22:05:00,21:50:00,4923,0
2016-01-03,1745356,0,---,---,---,370330,130227,35%,4206,3%,532400,276183,52%,157,0%,22:05:00,21:50:00,5066,0
2016-01-02,1743700,0,---,---,---,370330,128727,35%,4308,3%,532400,267992,50%,178,0%,22:05:00,22:35:00,5399,0
2016-01-01,1742573,0,---,---,---,369755,128584,35%,4385,3%,532400,267370,50%,202,0%,22:20:00,22:35:00,5337,0
2015-12-31,1741318,0,---,---,---,370330,109722,30%,2129,2%,532400,271008,51%,396,0%,22:20:00,22:50:00,4663,0
2015-12-30,1739785,0,---,---,---,369755,123732,33%,3685,3%,532400,256079,48%,140,0%,22:05:00,21:50:00,4552,0
2015-12-29,1738827,0,---,---,---,370330,123929,33%,4150,3%,532400,259010,49%,141,0%,21:50:00,21:50:00,4459,0
2015-12-28,1738241,0,---,---,---,369755,128023,35%,3825,3%,532400,262176,49%,142,0%,22:05:00,21:50:00,5024,0
2015-12-27,1737712,0,---,---,---,370330,127897,35%,4186,3%,532400,275041,52%,238,0%,22:05:00,21:50:00,5381,0
2015-12-26,1736837,0,---,---,---,370330,125239,34%,4053,3%,532400,265659,50%,173,0%,22:05:00,22:35:00,4900,0
2015-12-25,1735420,0,---,---,---,369755,123921,34%,3954,3%,532400,259375,49%,122,0%,22:05:00,22:50:00,4668,0
2015-12-24,1734481,0,---,---,---,369755,120737,33%,3867,3%,532400,250281,47%,145,0%,22:05:00,21:50:00,4038,0
2015-12-23,1733305,0,---,---,---,369755,118589,32%,3530,3%,532400,252349,47%,154,0%,22:05:00,21:50:00,4051,0
2015-12-22,1732268,0,---,---,---,369755,122255,33%,3994,3%,532400,260493,49%,161,0%,21:50:00,21:50:00,4384,0
2015-12-21,1731378,0,---,---,---,369755,124863,34%,3740,3%,532400,255393,48%,129,0%,22:05:00,21:50:00,4399,0
2015-12-20,1730442,0,---,---,---,369755,126891,34%,4041,3%,532400,277840,52%,138,0%,21:50:00,21:50:00,5180,0
2015-12-19,1728723,0,---,---,---,369755,124274,34%,3970,3%,532400,259759,49%,143,0%,22:05:00,22:35:00,4975,0
2015-12-18,1726554,0,---,---,---,369755,122472,33%,3819,3%,532400,260835,49%,136,0%,22:05:00,22:35:00,4076,0
2015-12-17,1725190,0,---,---,---,369630,123014,33%,3535,3%,532400,263874,50%,144,0%,22:05:00,21:50:00,4041,0
2015-12-16,1724140,0,---,---,---,369630,116270,31%,3516,3%,532400,256294,48%,142,0%,22:05:00,21:50:00,4258,0
2015-12-15,1723017,0,---,---,---,369630,123664,33%,3880,3%,532400,255690,48%,146,0%,22:05:00,21:50:00,4579,0
2015-12-14,1721753,0,---,---,---,372630,128523,34%,3715,3%,532400,259998,49%,179,0%,22:05:00,21:50:00,4686,0
2015-12-13,1720696,0,---,---,---,372630,129001,35%,4221,3%,532400,278635,52%,170,0%,22:05:00,21:50:00,5962,0
2015-12-12,1718664,0,---,---,---,372630,123639,33%,3958,3%,532400,259055,49%,135,0%,22:05:00,22:35:00,5778,0
2015-12-11,1716238,0,---,---,---,372630,124037,33%,4008,3%,532400,262090,49%,152,0%,22:20:00,22:35:00,5378,0
2015-12-10,1715163,0,---,---,---,372630,123355,33%,3976,3%,532400,254990,48%,185,0%,22:05:00,21:50:00,5363,0
2015-12-09,1713759,0,---,---,---,372630,119474,32%,3914,3%,532400,258316,49%,164,0%,21:50:00,21:50:00,5688,0
2015-12-08,1712113,0,---,---,---,372630,120322,32%,3680,3%,532400,250254,47%,221,0%,22:05:00,21:50:00,6563,0
2015-12-07,1710492,0,---,---,---,372630,123141,33%,3810,3%,532400,253926,48%,179,0%,22:05:00,21:50:00,8082,0
2015-12-06,1709768,0,---,---,---,372630,121488,33%,4113,3%,532400,264525,50%,215,0%,22:05:00,21:50:00,14126,0
2015-12-05,1709187,0,---,---,---,372630,124619,33%,4682,4%,532400,271763,51%,201,0%,21:50:00,21:50:00,17178,0
2015-12-04,1708569,0,---,---,---,372630,120094,32%,4520,4%,532400,261460,49%,260,0%,22:20:00,22:35:00,9700,0
2015-12-03,1708080,0,---,---,---,372630,119705,32%,3761,3%,532400,251104,47%,291,0%,21:50:00,21:50:00,6880,0
2015-12-02,1707569,0,---,---,---,372630,119592,32%,3941,3%,532400,254849,48%,351,0%,22:05:00,21:50:00,7446,0
2015-12-01,1707074,0,---,---,---,373205,120311,32%,3799,3%,532400,254458,48%,507,0%,21:50:00,21:50:00,7228,0
2015-11-30,1706464,0,---,---,---,372630,109940,30%,2556,2%,532400,345394,65%,3393,1%,21:50:00,22:20:00,7703,0
2015-11-29,1705750,0,---,---,---,372630,115143,31%,4205,4%,532400,256198,48%,143,0%,21:50:00,21:50:00,10880,0
2015-11-28,1704902,0,---,---,---,372630,116746,31%,4490,4%,532400,253707,48%,105,0%,21:35:00,22:05:00,10286,0
2015-11-27,1703831,0,---,---,---,372630,112017,30%,4166,4%,532400,247765,47%,176,0%,22:05:00,22:05:00,7608,0
2015-11-26,1703058,0,---,---,---,372630,111425,30%,4094,4%,532400,240547,45%,204,0%,21:50:00,21:50:00,7212,0
2015-11-25,1702095,0,---,---,---,372630,112117,30%,4101,4%,532400,242952,46%,277,0%,21:50:00,21:50:00,6535,0
2015-11-24,1700890,0,---,---,---,372630,118398,32%,4500,4%,532400,246407,46%,188,0%,21:50:00,21:50:00,6772,0
2015-11-23,1700440,0,---,---,---,372630,122551,33%,4311,4%,532400,248861,47%,224,0%,21:50:00,21:50:00,6989,0
